id,age_range,country
446,45-54,CA
447,55-64,TR
448,35-44,CO
449,18-24,KR
450,35-44,EG
451,45-54,CL
452,45-54,ES
453,35-44,TR
454,18-24,US
455,25-34,EG
456,55-64,SE
457,35-44,DE
458,35-44,GB
459,25-34,IN
460,25-34,BR
461,55-64,ZA
462,35-44,NG
463,45-54,RU
464,25-34,TR
465,35-44,PT
466,25-34,SE
467,45-54,JP
468,25-34,ES
469,25-34,RU
470,35-44,NG
471,55-64,BR
472,18-24,SE
473,45-54,SE
474,25-34,JP
475,25-34,NG
476,<18,AR
477,25-34,GB
478,25-34,AU
479,<18,CO
480,25-34,TR
481,55-64,CO
482,18-24,GB
483,45-54,US
484,25-34,NG
485,35-44,US
486,25-34,BR
487,18-24,ZA
488,18-24,NL
489,18-24,AU
490,18-24,DE
491,35-44,DE
492,55-64,CL
493,45-54,CA
494,35-44,IT
495,18-24,KR
496,25-34,CN
497,25-34,GB
498,25-34,NG
499,25-34,NG
500,35-44,AU
501,25-34,NL
502,25-34,TR
503,45-54,KR
504,45-54,GB
505,25-34,MX
506,55-64,SE
507,65+,AU
508,25-34,KR
509,25-34,PT
510,25-34,CA
511,65+,JP
512,55-64,EG
513,18-24,GB
514,25-34,DE
515,35-44,CL
516,25-34,AR
517,18-24,EG
518,55-64,CA
519,35-44,SE
520,45-54,CO
521,55-64,ZA
522,45-54,IT
523,25-34,KR
524,35-44,TR
525,18-24,NG
526,35-44,FR
527,18-24,AU
528,35-44,CN
529,18-24,MX
530,18-24,IT
531,18-24,CO
532,<18,NG
533,45-54,CN
534,45-54,MX
535,25-34,TR
536,18-24,AR
537,18-24,CN
538,<18,BR
539,18-24,RU
540,55-64,US
541,25-34,RU
542,25-34,AU
543,18-24,EG
544,18-24,US
545,25-34,ES
546,35-44,IT
547,25-34,IN
548,<18,CA
549,25-34,IT
550,18-24,IN
551,18-24,GB
552,65+,KR
553,35-44,FR
554,35-44,NG
555,25-34,CN
556,25-34,US
557,35-44,DE
558,35-44,RU
559,45-54,MX
560,18-24,NG
561,25-34,CA
562,25-34,PT
563,55-64,PT
564,35-44,FR
565,35-44,AR
566,18-24,US
567,35-44,JP
568,18-24,SE
569,25-34,CN
570,18-24,ES
571,35-44,AU
572,18-24,CO
573,25-34,EG
574,55-64,PT
575,18-24,GB
576,25-34,TR
577,25-34,TR
578,<18,ZA
579,45-54,AR
580,18-24,AR
581,25-34,JP
582,35-44,IT
583,35-44,DE
584,35-44,EG
585,25-34,CA
586,<18,TR
587,45-54,KR
588,35-44,CL
589,45-54,DE
590,45-54,NL
591,55-64,CA
592,25-34,EG
593,25-34,CN
594,45-54,JP
595,25-34,JP
596,18-24,ES
597,55-64,MX
598,55-64,PT
599,25-34,EG
600,18-24,IN
601,25-34,NL
602,45-54,SE
603,55-64,IN
604,18-24,NL
605,18-24,CN
606,55-64,DE
607,25-34,JP
608,35-44,BR
609,65+,BR
610,18-24,AU
611,35-44,GB
612,18-24,PT
613,25-34,NG
614,45-54,IT
615,25-34,AR
616,65+,ZA
617,35-44,JP
618,25-34,CO
619,18-24,KR
620,25-34,CO
621,25-34,GB
622,18-24,CN
623,25-34,TR
624,25-34,ES
625,45-54,IN
626,35-44,RU
627,45-54,CO
628,<18,CO
629,18-24,NG
630,35-44,CL
631,25-34,GB
632,<18,CL
633,45-54,NL
634,45-54,BR
635,35-44,CA
636,18-24,CL
637,45-54,PT
638,35-44,KR
639,45-54,NL
640,45-54,GB
641,45-54,CL
642,25-34,DE
643,18-24,CN
644,35-44,BR
645,35-44,NG
646,45-54,TR
647,18-24,EG
648,18-24,JP
649,55-64,IN
650,45-54,AU
651,55-64,US
652,45-54,ES
653,35-44,GB
654,35-44,ZA
655,55-64,IT
656,35-44,CL
657,35-44,CL
658,18-24,IN
659,25-34,US
660,45-54,CO
661,25-34,GB
662,18-24,CO
663,25-34,NL
664,25-34,US
665,18-24,KR
666,25-34,AU
667,55-64,CL
668,25-34,DE
669,18-24,CA
670,18-24,CO
671,35-44,DE
672,25-34,AU
673,45-54,PT
674,35-44,RU
675,45-54,GB
676,25-34,RU
677,35-44,IT
678,25-34,AU
679,55-64,GB
680,35-44,BR
681,25-34,JP
682,25-34,CA
683,18-24,JP
684,35-44,IN
685,18-24,IT
686,35-44,NG
687,25-34,CN
688,35-44,JP
689,45-54,CN
690,45-54,NL
691,45-54,RU
692,18-24,AR
693,18-24,RU
694,35-44,EG
695,25-34,PT
696,25-34,BR
697,<18,BR
698,25-34,FR
699,<18,US
700,55-64,TR
701,25-34,DE
702,35-44,ES
703,<18,RU
704,35-44,CL
705,25-34,ZA
706,55-64,MX
707,55-64,CL
708,25-34,PT
709,55-64,IT
710,65+,CL
711,45-54,US
712,55-64,ES
713,25-34,IT
714,35-44,KR
715,18-24,JP
716,18-24,NG
717,65+,BR
718,25-34,SE
719,45-54,RU
720,45-54,KR
721,55-64,IN
722,65+,NL
723,25-34,JP
724,<18,GB
725,25-34,DE
726,18-24,AR
727,<18,FR
728,25-34,IN
729,45-54,ES
730,35-44,AU
731,25-34,TR
732,35-44,CN
733,18-24,AU
734,<18,ES
735,45-54,NL
736,35-44,ES
737,45-54,NG
738,<18,JP
739,45-54,DE
740,35-44,SE
741,35-44,KR
742,35-44,TR
743,55-64,NL
744,35-44,PT
745,35-44,IT
746,65+,ZA
747,45-54,IN
748,25-34,EG
749,45-54,CL
750,25-34,JP
751,18-24,BR
752,35-44,AU
753,55-64,CL
754,55-64,CN
755,25-34,RU
756,35-44,MX
757,18-24,CL
758,65+,ZA
759,65+,NL
760,35-44,SE
761,45-54,NL
762,45-54,TR
763,35-44,FR
764,<18,GB
765,25-34,ZA
766,35-44,RU
767,35-44,CL
768,25-34,FR
769,65+,AR
770,18-24,CO
771,25-34,ES
772,35-44,TR
773,35-44,CA
774,35-44,IN
775,25-34,PT
776,18-24,CL
777,35-44,FR
778,35-44,TR
779,18-24,TR
780,45-54,IN
781,25-34,GB
782,35-44,ES
783,45-54,CO
784,18-24,JP
785,<18,CO
786,45-54,MX
787,35-44,MX
788,35-44,CA
789,45-54,ES
790,45-54,JP
791,65+,AR
792,35-44,ES
793,25-34,US
794,25-34,SE
795,18-24,KR
796,35-44,NG
797,25-34,JP
798,55-64,BR
799,35-44,IN
800,35-44,GB
801,25-34,GB
802,<18,FR
803,<18,IN
804,25-34,RU
805,18-24,IN
806,35-44,NG
807,55-64,ES
808,55-64,US
809,35-44,IT
810,18-24,JP
811,55-64,IT
812,55-64,ZA
813,18-24,NG
814,45-54,TR
815,25-34,MX
816,45-54,RU
817,65+,CO
818,<18,CL
819,55-64,NG
820,35-44,SE
821,65+,CA
822,25-34,CA
823,55-64,KR
824,18-24,AR
825,25-34,AU
826,18-24,ES
827,65+,CN
828,45-54,BR
829,55-64,NG
830,55-64,CA
831,18-24,ZA
832,25-34,ES
833,18-24,BR
834,18-24,JP
835,18-24,IN
836,25-34,KR
837,25-34,EG
838,18-24,PT
839,18-24,AU
840,18-24,AU
841,65+,CN
842,45-54,AU
843,65+,CA
844,25-34,NL
845,25-34,ZA
846,45-54,US
847,25-34,DE
848,25-34,NL
849,18-24,GB
850,18-24,AU
851,25-34,AR
852,25-34,CN
853,35-44,RU
854,18-24,NG
855,18-24,ES
856,45-54,EG
857,18-24,BR
858,25-34,AU
859,55-64,BR
860,18-24,CA
861,18-24,AU
862,25-34,BR
863,25-34,PT
864,35-44,NL
865,45-54,IN
866,18-24,IN
867,35-44,DE
868,25-34,CN
869,18-24,AR
870,35-44,IN
871,25-34,CA
872,25-34,ZA
873,18-24,CO
874,25-34,CO
875,25-34,IN
876,45-54,BR
877,<18,PT
878,25-34,FR
879,25-34,IT
880,45-54,TR
881,35-44,KR
882,35-44,KR
883,45-54,IN
884,55-64,TR
885,25-34,IT
886,35-44,NG
887,55-64,PT
888,65+,PT
889,55-64,RU
890,25-34,MX
891,18-24,JP
892,25-34,CN
893,45-54,ES
894,25-34,TR
895,25-34,AR
896,45-54,JP
897,25-34,RU
898,55-64,ES
899,25-34,CN
900,25-34,NL
901,25-34,NG
902,45-54,CA
903,18-24,PT
904,18-24,CO
905,65+,ZA
906,18-24,ZA
907,35-44,PT
908,35-44,BR
909,25-34,SE
910,35-44,DE
911,18-24,ES
912,35-44,GB
913,25-34,GB
914,35-44,ZA
915,18-24,MX
916,35-44,AU
917,18-24,AR
918,25-34,CO
919,18-24,CN
920,18-24,NL
921,45-54,CA
922,25-34,JP
923,55-64,NL
924,65+,GB
925,35-44,RU
926,18-24,MX
927,25-34,AU
928,45-54,CN
929,25-34,DE
930,18-24,CL
931,35-44,ES
932,55-64,EG
933,45-54,CL
934,18-24,SE
935,35-44,NG
936,18-24,FR
937,18-24,NG
938,55-64,CO
939,25-34,CL
940,25-34,CO
941,<18,PT
942,55-64,KR
943,45-54,CL
944,35-44,NL
945,45-54,JP
946,18-24,ZA
947,25-34,US
948,25-34,TR
949,18-24,BR
950,25-34,CN
951,55-64,ZA
952,<18,PT
953,25-34,GB
954,18-24,RU
955,18-24,CO
956,55-64,CA
957,25-34,PT
958,25-34,IN
959,45-54,RU
960,18-24,RU
961,25-34,NL
962,25-34,KR
963,35-44,AU
964,65+,EG
965,45-54,AU
966,25-34,SE
967,45-54,SE
968,18-24,NL
969,<18,ES
970,18-24,TR
971,25-34,IN
972,25-34,KR
973,35-44,JP
974,55-64,TR
975,25-34,CO
976,25-34,DE
977,<18,DE
978,<18,BR
979,35-44,MX
980,25-34,DE
981,45-54,EG
982,18-24,EG
983,<18,KR
984,25-34,EG
985,18-24,DE
986,<18,US
987,45-54,NL
988,18-24,ZA
989,35-44,BR
990,25-34,CA
991,18-24,RU
992,25-34,SE
993,45-54,CL
994,25-34,CN
995,45-54,KR
996,18-24,KR
997,45-54,SE
998,18-24,AU
999,35-44,CA
1000,35-44,MX
1001,55-64,SE
1002,25-34,DE
1003,18-24,AU
1004,<18,GB
1005,45-54,ES
1006,35-44,GB
1007,45-54,CA
1008,18-24,GB
1009,25-34,CN
1010,<18,PT
1011,65+,TR
1012,35-44,PT
1013,55-64,JP
1014,25-34,CL
1015,35-44,IT
1016,35-44,ZA
1017,25-34,PT
1018,55-64,AU
1019,65+,IN
1020,55-64,US
1021,45-54,CL
1022,25-34,CL
1023,25-34,NL
1024,65+,KR
1025,<18,CA
1026,45-54,AU
1027,45-54,ES
1028,35-44,FR
1029,65+,BR
1030,25-34,MX
1031,25-34,CA
1032,18-24,ES
1033,25-34,PT
1034,25-34,CA
1035,25-34,CA
1036,45-54,PT
1037,55-64,AR
1038,18-24,PT
1039,25-34,GB
1040,55-64,CL
1041,18-24,ZA
1042,18-24,BR
1043,18-24,IN
1044,35-44,KR
1045,18-24,DE
1046,65+,CN
1047,25-34,CO
1048,25-34,BR
1049,25-34,CL
1050,25-34,EG
1051,35-44,NG
1052,45-54,IN
1053,45-54,JP
1054,35-44,SE
1055,55-64,NG
1056,45-54,FR
1057,45-54,IT
1058,<18,CN
1059,<18,NL
1060,18-24,MX
1061,35-44,CN
1062,25-34,FR
1063,25-34,CL
1064,55-64,CN
1065,55-64,BR
1066,55-64,NG
1067,25-34,DE
1068,35-44,CL
1069,25-34,NL
1070,18-24,KR
1071,18-24,ES
1072,25-34,PT
1073,25-34,KR
1074,45-54,CL
1075,18-24,RU
1076,45-54,DE
1077,35-44,BR
1078,25-34,CA
1079,25-34,CN
1080,25-34,IN
1081,35-44,PT
1082,25-34,JP
1083,18-24,CA
1084,18-24,IN
1085,35-44,RU
1086,55-64,BR
1087,25-34,ES
1088,45-54,FR
1089,35-44,IN
1090,55-64,BR
1091,45-54,CN
1092,35-44,AU
1093,35-44,AU
1094,55-64,ES
1095,25-34,AR
1096,25-34,IN
1097,<18,CL
1098,45-54,NG
1099,45-54,KR
1100,18-24,AU
1101,35-44,EG
1102,25-34,BR
1103,18-24,BR
1104,65+,RU
1105,18-24,IT
1106,18-24,ES
1107,35-44,US
1108,45-54,AR
1109,<18,CL
1110,35-44,AR
1111,35-44,ZA
1112,18-24,CA
1113,18-24,AU
1114,35-44,IN
1115,25-34,CN
1116,55-64,PT
1117,45-54,IT
1118,65+,CA
1119,25-34,AU
1120,65+,AR
1121,25-34,JP
1122,25-34,JP
1123,<18,DE
1124,<18,DE
1125,35-44,RU
1126,25-34,US
1127,18-24,AR
1128,35-44,SE
1129,25-34,BR
1130,35-44,JP
1131,25-34,IN
1132,45-54,IT
1133,45-54,ES
1134,25-34,AR
1135,25-34,ZA
1136,25-34,US
1137,45-54,EG
1138,25-34,CO
1139,18-24,DE
1140,18-24,FR
1141,25-34,US
1142,25-34,US
1143,55-64,EG
1144,18-24,ES
1145,25-34,FR
1146,45-54,BR
1147,45-54,SE
1148,25-34,EG
1149,25-34,FR
1150,25-34,CA
1151,55-64,ZA
1152,18-24,EG
1153,55-64,JP
1154,35-44,CL
1155,35-44,AR
1156,<18,FR
1157,25-34,BR
1158,25-34,DE
1159,18-24,CN
1160,35-44,EG
1161,65+,AU
1162,35-44,CL
1163,45-54,AR
1164,18-24,BR
1165,25-34,JP
1166,18-24,CO
1167,35-44,SE
1168,55-64,AU
1169,35-44,TR
1170,18-24,PT
1171,25-34,SE
1172,35-44,JP
1173,25-34,CL
1174,45-54,PT
1175,45-54,EG
1176,35-44,EG
1177,25-34,TR
1178,25-34,CO
1179,18-24,US
1180,25-34,CL
1181,25-34,PT
1182,35-44,CN
1183,35-44,TR
1184,18-24,CA
1185,25-34,CL
1186,18-24,GB
1187,18-24,CN
1188,45-54,AU
1189,<18,FR
1190,25-34,SE
1191,18-24,ES
1192,55-64,PT
1193,35-44,NL
1194,18-24,IT
1195,25-34,EG
1196,45-54,CN
1197,65+,CO
1198,18-24,JP
1199,55-64,AU
1200,55-64,EG
1201,55-64,AR
1202,35-44,IT
1203,35-44,IT
1204,25-34,MX
1205,45-54,CL
1206,35-44,JP
1207,35-44,CN
1208,25-34,IT
1209,45-54,ES
1210,45-54,RU
1211,18-24,MX
1212,45-54,PT
1213,35-44,NG
1214,55-64,US
1215,25-34,PT
1216,25-34,PT
1217,55-64,ZA
1218,25-34,GB
1219,55-64,FR
1220,25-34,GB
1221,25-34,JP
1222,25-34,CO
1223,35-44,EG
1224,25-34,JP
1225,<18,NL
1226,25-34,IN
1227,<18,CN
1228,65+,BR
1229,65+,AR
1230,25-34,KR
1231,45-54,DE
1232,25-34,SE
1233,35-44,BR
1234,45-54,CO
1235,65+,MX
1236,25-34,CL
1237,45-54,SE
1238,25-34,IT
1239,65+,AU
1240,<18,NL
1241,35-44,US
1242,35-44,EG
1243,35-44,SE
1244,18-24,DE
1245,55-64,CN
1246,18-24,ES
1247,35-44,BR
1248,18-24,GB
1249,25-34,CO
1250,35-44,PT
1251,25-34,KR
1252,18-24,ZA
1253,18-24,CN
1254,25-34,ES
1255,45-54,CO
1256,55-64,GB
1257,18-24,KR
1258,25-34,US
1259,18-24,AR
1260,<18,CO
1261,35-44,ZA
1262,35-44,TR
1263,18-24,ZA
1264,18-24,CA
1265,<18,IT
1266,45-54,CO
1267,65+,FR
1268,18-24,CN
1269,18-24,CA
1270,55-64,EG
1271,55-64,IT
1272,25-34,CA
1273,<18,DE
1274,<18,SE
1275,35-44,IN
1276,25-34,AR
1277,<18,ES
1278,35-44,CN
1279,<18,PT
1280,45-54,EG
1281,25-34,JP
1282,<18,GB
1283,35-44,BR
1284,25-34,NL
1285,65+,RU
1286,35-44,CA
1287,25-34,PT
1288,45-54,DE
1289,25-34,BR
1290,55-64,CO
1291,25-34,BR
1292,35-44,BR
1293,<18,TR
1294,25-34,IT
1295,45-54,AR
1296,45-54,ES
1297,18-24,CN
1298,18-24,DE
1299,45-54,ZA
1300,55-64,CL
1301,18-24,NG
1302,25-34,EG
1303,25-34,RU
1304,55-64,SE
1305,18-24,BR
1306,18-24,PT
1307,45-54,ZA
1308,<18,CA
1309,25-34,DE
1310,25-34,KR
1311,25-34,ZA
1312,25-34,AU
1313,35-44,ES
1314,18-24,KR
1315,35-44,AU
1316,45-54,CL
1317,45-54,CA
1318,18-24,IT
1319,18-24,DE
1320,25-34,ZA
1321,25-34,DE
1322,25-34,ZA
1323,35-44,ZA
1324,<18,AR
1325,<18,CL
1326,25-34,SE
1327,35-44,DE
1328,18-24,SE
1329,35-44,AU
1330,25-34,EG
1331,55-64,IT
1332,55-64,FR
1333,25-34,IN
1334,18-24,CN
1335,25-34,MX
1336,25-34,JP
1337,35-44,EG
1338,45-54,TR
1339,35-44,IT
1340,45-54,CN
1341,25-34,SE
1342,18-24,ES
1343,45-54,CN
1344,25-34,KR
1345,35-44,BR
1346,25-34,ZA
1347,18-24,US
1348,65+,SE
1349,18-24,MX
1350,65+,NG
1351,65+,FR
1352,45-54,KR
1353,35-44,RU
1354,35-44,US
1355,55-64,ZA
1356,25-34,CO
1357,25-34,GB
1358,35-44,BR
1359,25-34,NL
1360,25-34,FR
1361,25-34,IN
1362,35-44,CN
1363,55-64,US
1364,18-24,JP
1365,55-64,TR
1366,35-44,CA
1367,45-54,RU
1368,35-44,FR
1369,45-54,CL
1370,<18,ZA
1371,45-54,NL
1372,<18,AU
1373,55-64,NG
1374,65+,SE
1375,25-34,EG
1376,18-24,CO
1377,45-54,TR
1378,25-34,EG
1379,55-64,AR
1380,18-24,MX
1381,18-24,RU
1382,65+,IT
1383,35-44,IN
1384,55-64,CN
1385,25-34,IT
1386,35-44,NL
1387,35-44,NG
1388,35-44,ES
1389,35-44,MX
1390,35-44,AR
1391,25-34,KR
1392,25-34,ZA
1393,45-54,RU
1394,18-24,ZA
1395,35-44,MX
1396,18-24,KR
1397,35-44,RU
1398,45-54,AR
1399,18-24,PT
1400,<18,GB
1401,18-24,BR
1402,35-44,ES
1403,55-64,KR
1404,<18,NG
1405,45-54,NL
1406,25-34,JP
1407,25-34,CO
1408,55-64,BR
1409,25-34,NG
1410,25-34,CN
1411,<18,CO
1412,18-24,CN
1413,25-34,BR
1414,<18,US
1415,35-44,NG
1416,25-34,BR
1417,35-44,CA
1418,18-24,CA
1419,25-34,KR
1420,35-44,MX
1421,65+,RU
1422,<18,ES
1423,55-64,AR
1424,35-44,GB
1425,35-44,AR
1426,25-34,RU
1427,18-24,US
1428,18-24,CA
1429,35-44,NG
1430,25-34,TR
1431,55-64,ES
1432,25-34,MX
1433,18-24,GB
1434,45-54,DE
1435,25-34,AU
1436,35-44,ZA
1437,35-44,ES
1438,55-64,US
1439,45-54,PT
1440,35-44,PT
1441,35-44,SE
1442,65+,ES
1443,25-34,IN
1444,<18,ZA
1445,25-34,US
1446,18-24,JP
1447,35-44,CL
1448,35-44,EG
1449,35-44,GB
1450,<18,BR
1451,45-54,GB
1452,25-34,CA
1453,35-44,KR
1454,35-44,NL
1455,25-34,CL
1456,18-24,ZA
1457,18-24,CN
1458,45-54,EG
1459,55-64,AR
1460,35-44,AR
1461,18-24,US
1462,25-34,NG
1463,45-54,PT
1464,45-54,IN
1465,18-24,EG
1466,<18,NG
1467,45-54,TR
1468,25-34,IT
1469,25-34,CA
1470,<18,IN
1471,35-44,AU
1472,55-64,DE
1473,65+,TR
1474,35-44,IT
1475,25-34,IT
1476,18-24,PT
1477,35-44,NL
1478,25-34,NL
1479,35-44,PT
1480,25-34,KR
1481,25-34,AR
1482,18-24,JP
1483,25-34,PT
1484,18-24,TR
1485,18-24,CA
1486,65+,GB
1487,25-34,TR
1488,35-44,EG
1489,55-64,KR
1490,65+,JP
1491,35-44,NL
1492,45-54,DE
1493,25-34,NG
1494,25-34,KR
1495,25-34,AU
1496,35-44,MX
1497,35-44,FR
1498,25-34,MX
1499,18-24,CL
1500,35-44,JP
1501,18-24,ES
1502,35-44,KR
1503,35-44,JP
1504,45-54,MX
1505,45-54,NG
1506,55-64,BR
1507,25-34,BR
1508,45-54,AR
1509,35-44,KR
1510,18-24,ZA
1511,<18,BR
1512,25-34,IN
1513,25-34,CO
1514,35-44,NL
1515,55-64,KR
